iter	RMSE
1610	36446.13746
1611	36445.5001
1612	36433.69648
1613	36411.51093
1614	36410.9893
1615	36410.47118
1616	36410.07036
1617	36400.44192
1618	36399.60959
1619	36398.22289
1620	36397.39828
1621	36331.76481
1622	36331.25745
1623	36304.33667
1624	36296.08342
1625	36289.77699
1626	36279.35839
1627	36196.23856
1628	36195.41274
1629	36178.6038
1630	36172.35594
1631	36160.98717
1632	36150.65778
1633	36144.46854
1634	36133.19425
1635	36132.37811
1636	36105.92998
1637	36017.00677
1638	36016.19042
1639	36004.93118
1640	35993.50665
1641	35991.02244
1642	35990.20845
1643	35902.32867
1644	35892.66363
1645	35881.50934
1646	35875.69536
1647	35875.18934
1648	35874.38611
1649	35864.35688
1650	35861.89915
1651	35860.85241
1652	35860.35535
1653	35773.44939
1654	35759.99395
1655	35729.62264
1656	35643.78679
1657	35632.61784
1658	35621.57385
1659	35610.58231
1660	35525.74864
1661	35515.70098
1662	35512.75394
1663	35501.44798
1664	35490.57087
